Name,Profile_Link,Research_Interests,Dept.....AE.,Tags
Alakesh Chandra Mandal,https://scholar.google.ca/citations?user=FaFWqlUAAAAJ&hl=en,"Research Interests: Experimental aerodynamics, Flow instability and transition, Turbulent shear flows",AE,"Flight Mechanics, Aerodynamics"
Arnab Samanta,https://sites.google.com/view/fpcal,"Research Interests: Fluid mechanics, aeroacoustics, hydrodynamic stability, wave mechanics, flow control",AE,"Flight Mechanics, Aerodynamics, Aeroacoustics"
Arun Kumar Perumal,https://scholar.google.com/citations?user=XjU5ULsAAAAJ&hl=en,"Research Interests: Experimental aerodynamics, High speed flows, Subsonic and supersonic jets, Jets in cross flow, Impinging jets, Drag reduction on automotive vehicles.",AE,Aerodynamics
Debopam Das,https://home.iitk.ac.in/~das,"Research Interests: Theoretical and Experimental Fluid Dynamics, Aeroacoustics, Instability & transition, Vortex Dynamics. Unsteady Aerodynamics, Bird's and Insect's Flight",AE,"Flight Mechanics, Aerodynamics, Aeroacoustics"
Kamal Poddar,https://scholar.google.com/citations?user=1vQxlncAAAAJ&hl=en,"Research Interests: Aerodynamics, Turbulence, Low and High Speed Flows",AE,Aerodynamics
Mohammed Ibrahim Sugarno,https://scholar.google.com/citations?user=Stq51T0AAAAJ&hl=en,"Research Interests: Experimental Hypersonic Aerothermodynamics, High Enthalpy Test Facilities, Shock Waves",AE,Other Research Areas
Navrose,https://iitk.irins.org/profile/110847,"Research Interests: Fluid Mechanics, Aerodynamics, Fluid-Structure Interaction, Optimization, Computational Fluid Dynamics.",AE,"Aerodynamics, CFD (Computational Fluid Dynamics)"
Pradeep Moise,https://www.pradeepmoise.com/,"Research Interests: Computational fluid dynamics, swirling flows, transonic flows, hydrodynamic stability, modal decomposition",AE,"Flight Mechanics, CFD (Computational Fluid Dynamics)"
Rakesh Kumar,https://home.iitk.ac.in/~rkm,"Research Interests: Hypersonics, Rarefied Gas Dynamics, Microfluidics, Molecular Dynamics, Heat Transfer & Thermal Design",AE,Other Research Areas
Sanjay Mittal,https://home.iitk.ac.in/~smittal,"Research Interests: Aerodynamics, CFD, FEM",AE,"Aerodynamics, CFD (Computational Fluid Dynamics)"
