Name,Profile_Link,Research_Interests,Dept,Tags
L. Behera,http://home.iitk.ac.in/~lbehera/,"Research Interests: Intelligent Control, Quantum Learning System, Cognitive Modeling, Soft Computing.",EE,Other Research Areas
Abhilash Patel,https://home.iitk.ac.in/~apatel/,"Research Interests: Control and Dynamical Systems in Biology, Systems and Synthetic Biology, Robust Control Theory, and Wide-Area Control.",EE,Other Research Areas
R. Potluri,https://home.iitk.ac.in/~potluri/,Research Interests: Practical applications of Control Systems theory.,EE,Control Systems
Soumya Ranjan Sahoo,http://home.iitk.ac.in/~srsahoo,"Research Interests: Nonlinear systems, Modelling, Control, Fault identification and Recovery in UAVs, Control of robot manipulators, Computer Vision and Neural Networks, Multi-agent system, Effect of time delay in systems – unmanned vehicles and power system, Control Techniques for Microgrids (AC and DC) and power electronic converters",EE,"Power Systems, Neural Networks"
Tushar Sandhan,https://home.iitk.ac.in/~sandhan/,"Research Interests: Signal Processing (image, video, audio, biomedical), Computer Vision, Machine Learning, Robotics and Communication Systems (radar, wifi, optical, em-mm waves).",EE,"AI & Machine Learning, Signal Processing"
Twinkle Tripathy,https://sites.google.com/view/twinkletripathy/home,"Research Interests: Guidance of autonomous vehicles, Formation control problems in multi-agent systems, Study of nonholonomic systems, Missile guidance.",EE,Other Research Areas
Nishchal K. Verma,/ee/../idea/,"Research Interests: Intelligent Data Mining Algorithms and Applications, Health Monitoring and Intelligent Fault Diagnosis Systems, Soft-Computing in Modeling and Control, Machine Learning Algorithms, Computer Vision, Bioinformatics, Smart Grid, Intelligent Agents and their Applications, Intelligent Informatics, Fuzzy Controllers, Image Frame Generation, Brain Computer / Machine Interface, Unmanned Aerial Vehicles.",EE,"AI & Machine Learning, Power Systems"
Swathi Battula,https://home.iitk.ac.in/~swathi/,"Research Interests: Electricity Markets, Modelling and Design of Electrical Energy Systems, Transactive Energy System Design, Integrated Transmission and Distribution Systems, Energy Policy and Management",EE,Other Research Areas
Saikat Chakrabarti,https://sites.google.com/view/saikatchakrabarti/home,"Research Interests: State estimation of transmission and distribution systems, stability and control of power systems with penetration of renewable energy, operation and control of microgrids, modelling of generators and loads, planning and operation of distribution systems",EE,Power Systems
S. P. Das,https://home.iitk.ac.in/~spdas/,"Research Interests: Power electronics, Electric drives, Electrical Machines, Microprocessor systems & Instrumentation.",EE,Power Systems
N. Gupta,https://nandinigupta.netlify.app/,"Research Interests: High voltage engineering, Modeling of plasma discharge processes, Dusty plasmas, Modeling of gaseous discharge phenomena using Molecular Dynamics and Finite Element techniques, Failure of insulating materials.",EE,Other Research Areas
Piyush Kant,https://home.iitk.ac.in/~piyushkant/,"Research Interests: Multi-winding transformers for multi-pulse AC-DC converters, Multi-level inverters, Modulation techniques, Medium voltage drives, Electrical machines and drives, Motor control algorithms for electric vehicles.",EE,Communications
Utsab Kundu,https://home.iitk.ac.in/~ukundu/,"Research Interests: Applications of resonant converters, Power management ICs, Wireless power transfer technology",EE,Other Research Areas
Ebin Cherian Mathew,https://home.iitk.ac.in/~ebincm/,"Research Interests: HVDC and MVDC transmission systems, Fault tolerant modular converters for high-power applications, Medium and high-power DC-DC converters, Application of Power Electronics in Power Systems, Planning and operation of bulk power systems, Power Electronics dominated Grid.",EE,Power Systems
Abheejeet Mohapatra,https://sites.google.com/view/abheejeetmohapatra,"Research Interests: Power system security, Uncertainty modelling, Stochastic analysis and optimization, Robust and efficient system operation and planning, Renewable integration in power systems, Deregulation.",EE,Power Systems
Soumya Ranjan Sahoo,http://home.iitk.ac.in/~srsahoo,"Research Interests: Control Techniques for Microgrids (AC and DC) and power electronic converters, Effect of time delay in systems – power systems and unmanned vehicles, Multi-agent system with applications in power systems and unmanned vehicles, Nonlinear systems, Control of robot manipulators, Computer Vision and Neural Networks",EE,"Power Systems, Neural Networks"
P. Sensarma,https://home.iitk.ac.in/~sensarma/,"Research Interests: ower Electronic Applications to Power Systems, Power Quality, FACTS devices, Power Supplies, Utility Interfaces for Renewable Generation.",EE,Power Systems
Suvendu Samanta,https://home.iitk.ac.in/~suvendus/,"Research Interests: Power Electronics, Electric Vehicles, Wireless Power Transfer, Resonant Converters with WBG devices.",EE,Power Systems
Ankush Sharma,https://home.iitk.ac.in/~ansharma/,"Research Interests: Power Systems, Smart Grid Technology, State Estimation, IT Application into Power Systems, Smart City, Multi-Agent Systems, Wide Area Monitoring & Control of Power System, Energy Market, Demand Response Management.",EE,Power Systems
S. N. Singh,http://home.iitk.ac.in/~snsingh,"Research Interests: Power System Restructuring, FACTS Technology, Optimal Power Dispatch and Security Analysis, Power System Dynamics, Operation and Control, Distribution System Planning and Demand Side Management, Application of Genetic Algorithms and Artificial Neural Networks in Power Systems.",EE,"Power Systems, Neural Networks"
Alok Ranjan Verma,https://home.iitk.ac.in/~arverma/,"Research Interests: High Voltage Engineering, Dielectrics and Electrical Insulation, Computational Electrostatics, Polymeric Insulation for High Voltage Application, Over-voltages in Power Systems.",EE,Power Systems
Nishchal K. Verma,/ee/../idea/,"Research Interests: Intelligent Data Mining Algorithms and Applications, Health Monitoring and Intelligent Fault Diagnosis Systems, Soft-Computing in Modeling and Control, Machine Learning Algorithms, Computer Vision, Bioinformatics, Smart Grid, Intelligent Agents and their Applications, Intelligent Informatics, Fuzzy Controllers, Image Frame Generation, Brain Computer / Machine Interface, Unmanned Aerial Vehicles",EE,"AI & Machine Learning, Power Systems"
Gururaj Mirle Vishwanath,https://home.iitk.ac.in/~gururajmv/,"Research Interests: Renewable penetration challenges to the grid, Machine learning applications to power systems, EV interfacing challenges",EE,"AI & Machine Learning, Power Systems"
Jaleel Akhtar,http://home.iitk.ac.in/~mjakhtar/,"Research Interests: Microwave material processing, Microwave imaging and non-destructive testing, Electromagnetic characterization of dielectric and composite materials, Electromagnetic scattering, Computational Electromagnetics",EE,Electromagnetics
A. Biswas,https://home.iitk.ac.in/~abiswas/,"Research Interests: Electromagnetics, Micro & Millimeter wave circuits and techniques, Optical Guide structure",EE,Electromagnetics
Raghvendra Kumar Chaudhary,https://home.iitk.ac.in/~raghvendra/,"Research Interests: Reconfigurable Active Antenna, Multifunctional/Smart Metamaterial Antenna, Compact MIMO Antenna, Frequency Selective Surface, and Circularly Polarized Antenna, Dielectric Resonator Antenna, mm-wave & THz passive components.",EE,Other Research Areas
A. R. Harish,https://home.iitk.ac.in/~arh/,"Research Interests: Antennas, Radio Frequency Identification (RFID), Computational Electromagnetics",EE,Electromagnetics
Nagaditya Poluri,https://home.iitk.ac.in/~npoluri/,"Research Interests: Design of broadband power amplifiers and front-end modules, Power amplifier linearization techniques, and phased array systems.",EE,Other Research Areas
Kumar Vaibhav Srivastava,https://home.iitk.ac.in/~kvs/,"Research Interests: Numerical Techniques: Finite-Difference Time-Domain (FD-TD) and Finite Element Method (FEM), Meta-Materials, Bio-Instrumentation, Wireless Power Transfer, Dielectric Resonator and its applications, Multi-conductor Lines for microwave and millimeter wave application",EE,Electromagnetics
Rajshekhar Gannavarpu,https://grajshekhar.github.io/,"Research Interests: Light Microscopy, Optical Metrology, Digital Holography, Quantitative Phase Imaging",EE,Other Research Areas
Shilpi Gupta,https://sites.google.com/site/labquantumphotonics/,"Research Interests: Nanophotonics, Nanoplasmonics, Quantum optics",EE,Optical Communications
Pradeep Kumar K.,https://home.iitk.ac.in/~pradeepk/,"Research Interests: Quantum and non-linear optics; quantum cryptography and computation; Optical communications, Spin Waves",EE,Other Research Areas
Naren Naik,https://home.iitk.ac.in/~nnaik/,"Research Interests: Development and analysis of reconstruction approaches for nonlinear tomography, Numerical solutions of propagation and scattering problems, Subsurface imaging, Biomedical imaging",EE,Biomedical Signal Processing
Debdatta Ray,,"Research Interests: Nanophotonics, Optical Metasurfaces, Nanofabrication, Optical Spin orbit coupling",EE,Optical Communications
Rituraj,https://home.iitk.ac.in/~rituraj/,"Research Interests: Nanophotonics, Optoelectronic devices, Quantum optics, Waveguide quantum electrodynamics",EE,Optical Communications
Y. N. Singh,https://home.iitk.ac.in/~ynsingh/,"Research Interests: Fiber Optics and fiber optic networks, Communications, Telecom Networks, All optical packet switching",EE,Optical Communications
Arnab Bose,https://sites.google.com/view/bose-spinlab/,"Research Interests: Spin-based electronics, Fabrication and characterization of nanoscale devices, 2D material heterostructure, topological quantum materials, generation of unconventional spin current, altermagnets, MTJs, spin-caloritronics, spin-orbitronics, spin-mechatronics, chiral spin textures among others.",EE,Other Research Areas
Yogesh Singh Chauhan,http://home.iitk.ac.in/~chauhan/,"Research Interests: Nanoelectronics, BSIM model development (Bulk/SOI /multi-gate MOSFET), Compact modeling of semiconductor devices, DC/CV and RF characterization of MOSFETs.",EE,Other Research Areas
Chithra,https://home.iitk.ac.in/~chithra/,"Research Interests: Analog and mixed-signal VLSI design, digital VLSI design, frequency and phase synthesis, time-to-digital converters",EE,Circuits & VLSI
Rik Dey,https://home.iitk.ac.in/~rikdey/,"Research Interests: Topological Insulators, Transition Metal Chalcogenides and Di-Chalcogenides, Fabrication, Characterization and Analysis of micro and nano devices.",EE,Other Research Areas
Aloke Dutta,https://home.iitk.ac.in/~aloke/,"Research Interests: Semiconductor device physics and modeling, Analog/Digital VLSI circuits, IC fabrication technology and device characterization, Mixed Signal RF Circuits.",EE,Circuits & VLSI
S. S. K. Iyer,https://home.iitk.ac.in/~sskiyer/,"Research Interests: Organic solar cells, Photovoltaic systems, Printable electronics, VLSI technology, Devices and circuits.",EE,Circuits & VLSI
R. S. Ashwin Kumar,https://home.iitk.ac.in/~ashwinrs/,Research Interests: Analog & mixed-signal integrated circuits and signal processing,EE,Signal Processing
Avinash Lahgere,https://home.iitk.ac.in/~alahgere/,"Research Interests: Semiconductor Devices, Compact Modeling, Emerging CMOS Devices, Emerging Volatile-Nonvolatile Memory, Variation, PPA Benchmarking, Analog/RF, and Neuromorphic computing",EE,Other Research Areas
B. Mazhari,http://home.iitk.ac.in/~baquer/,Research Interests: Organic Electronics.,EE,Other Research Areas
Imon Mondal,https://home.iitk.ac.in/~imon/,Research Interests: Analog and mixed signal circuit design,EE,Other Research Areas
Rituraj,https://home.iitk.ac.in/~rituraj/,"Research Interests: Nanophotonics, Optoelectronic devices, Quantum optics, Waveguide quantum electrodynamics",EE,Optical Communications
Shubham Sahay,http://home.iitk.ac.in/~ssahay/,"Research Interests: Hardware Platforms for Neuromorphic Computing, Hardware Security Primitives, Novel Device Architectures for Scaling CMOS Technology, Analytical and Compact Modeling of Semiconductor Devices, Non-volatile Memories, and Spintronics.",EE,Other Research Areas
Amit Verma,http://home.iitk.ac.in/~amitkver/,"Research Interests: Epitaxial growth and characterization of semiconductor thin films, Semiconductor Device Design and Fabrication, Electron Transport measurements and modeling",EE,Other Research Areas
V. Arora,http://home.iitk.ac.in/~vipular/,"Research Interests: Machine learning, signal processing and optimization",EE,"AI & Machine Learning, Signal Processing"
A. Banerjee,https://home.iitk.ac.in/~adrish/,"Research Interests: Cognitive radio, Error control coding, Wireless communications, Optical communications",EE,Communications
Nikunj Arunkumar Bhagat,https://home.iitk.ac.in/~nbhagat/,"Research Interests: Neural & Bio-signal processing, Medical Instrumentation, Brain-machine interfaces, Functional Electrical Stimulation, and Rehabilitation Engineering",EE,Signal Processing
R. Budhiraja,http://home.iitk.ac.in/~rohitbr/,"Research Interests: Application of linear algebra, optimization methods and information theory to cooperative and multiuser MIMO wireless system design, PHY and cross-layer algorithm design for 5G wireless systems, Hardware and software design for building communications systems",EE,Communications
A. K. Chaturvedi,https://home.iitk.ac.in/~akc/,"Research Interests: Communications theory and Systems, Mobile communications, Spread spectrum systems",EE,Other Research Areas
Abhishek K Gupta,https://home.iitk.ac.in/~gkrabhi/,"Research Interests: 5G, mmwave & modern wireless communication, green communication, molecular communication & stochastic geometry.",EE,Communications
R. M. Hegde,https://home.iitk.ac.in/~rhegde/,"Research Interests: Machine Learning, AI, Federated learning, future wireless networks, pervasive/mobile communication, WSN, IoT, speech/audio processing for ASR and VR, and multimodal information fusion",EE,AI & Machine Learning
A. K. Jagannatham,https://home.iitk.ac.in/~adityaj/,"Research Interests: 6G and 5G Wireless Technologies: OTFS Modulation, Terahertz, Visible Light Communication (VLC), Intelligent Reflecting Surface (IRS) Technology, Massive MIMO, mmWave MIMO, Non-Orthogonal Multiple Access (NOMA), Filter-Bank Multi-Carrier (FBMC) Systems",EE,Communications
Koteswar Rao Jerripothula,https://sites.google.com/site/koteswarraojerripothula/,"Research Interests: Computer Vision, Artificial Intelligence & Machine Learning, Multimedia Signal Processing, Image Processing, and Healthcare Informatics",EE,"AI & Machine Learning, Signal Processing"
Washim Uddin Mondal,https://home.iitk.ac.in/~wmondal/,"Research Interests: Reinforcement learning, game theory, network economics.",EE,Other Research Areas
Naren Naik,https://home.iitk.ac.in/~nnaik/,"Research Interests: Development and analysis of reconstruction approaches for nonlinear tomography, Numerical solutions of propagation and scattering problems, Subsurface imaging, Biomedical imaging",EE,Biomedical Signal Processing
Subrahmanya Swamy Peruru,https://home.iitk.ac.in/~swamyp/,"Research Interests: Wireless Networks, Artificial Intelligence and Probabilistic Graphical Models.",EE,AI & Machine Learning
Ketan Rajawat,http://home.iitk.ac.in/~ketan/,"Research Interests: Sensor Networks, cross-layer optimization, distributed network control, network monitoring, network coding",EE,Other Research Areas
Tushar Sandhan,https://home.iitk.ac.in/~sandhan/,"Research Interests: Signal Processing (image, video, audio, biomedical), Computer Vision, Machine Learning, Robotics and Communication Systems (radar, wifi, optical, em-mm waves)",EE,"AI & Machine Learning, Signal Processing"
K. Vasudevan,http://home.iitk.ac.in/~vasu/,"Research Interests: Communications, Signal Processing",EE,Signal Processing
Y. N. Singh,https://home.iitk.ac.in/~ynsingh/,"Research Interests: Fiber Optics and fiber optic networks, Communications, Telecom Networks, All optical packet switching",EE,Optical Communications
Nishchal K. Verma,/ee/../idea/,"Research Interests: Intelligent Data Mining Algorithms and Applications, Health Monitoring and Intelligent Fault Diagnosis Systems, Soft-Computing in Modeling and Control, Machine Learning Algorithms, Computer Vision, Bioinformatics, Smart Grid, Intelligent Agents and their Applications, Intelligent Informatics, Fuzzy Controllers, Image Frame Generation, Brain Computer / Machine Interface, Unmanned Aerial Vehicles",EE,"AI & Machine Learning, Power Systems"
